interval_label,original_cluster,chunk_cluster,weighted_row_share
6-10,3,7,0.01184939091915836
6-10,3,8,0.002768549280177187
6-10,3,9,0.013750461424880029
6-10,3,10,0.05657991878922111
6-10,3,11,0.009228497600590623
6-10,3,12,0.0014396456256921375
6-10,3,13,0.0031746031746031746
6-10,3,14,0.0013565891472868215
6-10,3,15,0.013621262458471759
6-10,3,16,0.09056847545219637
6-10,3,17,0.005638612033960871
6-10,3,18,0.012412329272794387
6-10,3,19,0.0006644518272425248
6-10,4,0,0.003352490421455939
6-10,4,1,0.018626847290640396
6-10,4,2,0.0012315270935960591
6-10,4,3,0.015240147783251232
6-10,4,4,0.8632320744389711
6-10,4,5,0.007782567049808429
6-10,4,6,0.0
6-10,4,7,0.0
6-10,4,8,0.004909003831417625
6-10,4,9,0.001077586206896552
6-10,4,10,0.012452107279693488
6-10,4,11,0.009082512315270937
6-10,4,12,0.0036261631089217297
6-10,4,13,0.001077586206896552
6-10,4,14,0.005422140120415983
6-10,4,15,0.015086206896551727
6-10,4,16,0.01989258347016968
6-10,4,17,0.0014367816091954025
6-10,4,18,0.015240147783251232
6-10,4,19,0.0012315270935960591
6-10,5,0,0.03590184000631762
6-10,5,1,0.012151543867961778
6-10,5,2,0.0020927110479349283
6-10,5,3,0.037955065940140566
6-10,5,4,0.15656834873252784
6-10,5,5,0.4483929558556424
6-10,5,6,0.00792663665797994
6-10,5,7,0.013118929163705283
6-10,5,8,0.0
6-10,5,9,0.006376845929084734
6-10,5,10,0.04041301429361131
6-10,5,11,0.0044618178946537156
6-10,5,12,0.0008291873963515754
6-10,5,13,0.003681986890942115
6-10,5,14,0.0015399194503672117
6-10,5,15,0.004827055200189528
6-10,5,16,0.1822336729053147
6-10,5,17,0.007689725973308062
6-10,5,18,0.020433546552949537
6-10,5,19,0.013405196241017135
6-10,6,0,0.02067222900556234
6-10,6,1,0.021028354361687693
6-10,6,2,0.0014245014245014244
6-10,6,3,0.03128815628815629
6-10,6,4,0.16729412562745893
6-10,6,5,0.04341337674671008
6-10,6,6,0.48409306742640074
6-10,6,7,0.01521164021164021
6-10,6,8,0.0
6-10,6,9,0.005223171889838556
6-10,6,10,0.05786189119522453
6-10,6,11,0.020960520960520958
6-10,6,12,0.001221001221001221
6-10,6,13,0.0
6-10,6,14,0.0037986704653371318
6-10,6,15,0.03274657441324108
6-10,6,16,0.08545312711979378
6-10,6,17,0.0014245014245014244
6-10,6,18,0.006885090218423552
6-10,6,19,0.0
6-10,7,0,0.01284843205574913
6-10,7,1,0.02141405342624855
6-10,7,2,0.0
6-10,7,3,0.040456833139759965
6-10,7,4,0.14234901277584205
6-10,7,5,0.029374758033294618
6-10,7,6,0.017639372822299652
6-10,7,7,0.46426151761517614
6-10,7,8,0.0
6-10,7,9,0.009993224932249321
6-10,7,10,0.03735965931087882
6-10,7,11,0.006315331010452961
6-10,7,12,0.0
6-10,7,13,0.01016260162601626
6-10,7,14,0.0
6-10,7,15,0.0064847077042198996
6-10,7,16,0.1763937282229965
6-10,7,17,0.0013550135501355014
6-10,7,18,0.02032520325203252
6-10,7,19,0.0032665505226480837
6-10,8,0,0.0
6-10,8,1,0.010582010582010583
6-10,8,2,0.0
6-10,8,3,0.007936507936507938
6-10,8,4,0.35336356764928195
6-10,8,5,0.005291005291005292
6-10,8,6,0.0
6-10,8,7,0.005291005291005292
6-10,8,8,0.4439720332577476
6-10,8,9,0.007936507936507938
6-10,8,10,0.06150793650793651
6-10,8,11,0.012093726379440667
6-10,8,12,0.0
6-10,8,13,0.0
6-10,8,14,0.005291005291005292
6-10,8,15,0.0400604686318972
6-10,8,16,0.033068783068783074
6-10,8,17,0.0
6-10,8,18,0.0
6-10,8,19,0.01360544217687075
6-10,9,0,0.005434782608695652
6-10,9,1,0.006211180124223602
6-10,9,2,0.0
6-10,9,3,0.053830227743271224
6-10,9,4,0.15372670807453415
6-10,9,5,0.030193236714975844
6-10,9,6,0.014492753623188404
6-10,9,7,0.004830917874396135
6-10,9,8,0.012077294685990338
6-10,9,9,0.4220151828847481
6-10,9,10,0.10774672187715666
6-10,9,11,0.018115942028985504
6-10,9,12,0.013457556935817806
6-10,9,13,0.007246376811594202
6-10,9,14,0.006211180124223602
6-10,9,15,0.027518978605935128
6-10,9,16,0.09152864044168392
6-10,9,17,0.0
6-10,9,18,0.014492753623188404
6-10,9,19,0.010869565217391304
6-10,10,0,0.0067245288920165765
6-10,10,1,0.028080772538900615
6-10,10,2,0.0008210180623973727
6-10,10,3,0.01776917663617171
6-10,10,4,0.2487293768081945
6-10,10,5,0.0025998905309250137
6-10,10,6,0.00510204081632653
6-10,10,7,0.002775822972867308
6-10,10,8,0.0006157635467980296
6-10,10,9,0.030436312456016888
6-10,10,10,0.4917702713269216
6-10,10,11,0.012686683868949878
6-10,10,12,0.02522675736961451
6-10,10,13,0.001915708812260536
6-10,10,14,0.0027562749237626085
6-10,10,15,0.04304480412854797
6-10,10,16,0.060726014543748534
6-10,10,17,0.003078817733990148
6-10,10,18,0.01142583470169677
6-10,10,19,0.0037141293298928765
6-10,11,0,0.0014285714285714286
6-10,11,1,0.008234126984126984
6-10,11,2,0.0
6-10,11,3,0.015873015873015872
6-10,11,4,0.2768452380952381
6-10,11,5,0.010357142857142856
6-10,11,6,0.01130952380952381
6-10,11,7,0.00865079365079365
6-10,11,8,0.0016666666666666666
6-10,11,9,0.0029166666666666664
6-10,11,10,0.03609126984126984
6-10,11,11,0.5127182539682539
6-10,11,12,0.0
6-10,11,13,0.0
6-10,11,14,0.00125
6-10,11,15,0.024186507936507937
6-10,11,16,0.08222222222222221
6-10,11,17,0.004583333333333333
6-10,11,18,0.0016666666666666666
6-10,11,19,0.0
6-10,12,0,0.0
6-10,12,1,0.020089285714285716
6-10,12,2,0.0
6-10,12,3,0.0
6-10,12,4,0.11929563492063493
6-10,12,5,0.0
6-10,12,6,0.0
6-10,12,7,0.0
6-10,12,8,0.01388888888888889
6-10,12,9,0.0
6-10,12,10,0.12772817460317462
6-10,12,11,0.0
6-10,12,12,0.652529761904762
6-10,12,13,0.003906250000000001
6-10,12,14,0.0034722222222222225
6-10,12,15,0.05127728174603175
6-10,12,16,0.0
6-10,12,17,0.0
6-10,12,18,0.007812500000000002
6-10,12,19,0.0
6-10,13,0,0.004072681704260651
6-10,13,1,0.013575605680868838
6-10,13,2,0.0035244360902255637
6-10,13,3,0.014802631578947368
6-10,13,4,0.11651524644945696
6-10,13,5,0.036131996658312446
6-10,13,6,0.005169172932330827
6-10,13,7,0.0038377192982456134
6-10,13,8,0.0
6-10,13,9,0.0035244360902255637
6-10,13,10,0.051352339181286545
6-10,13,11,0.0018796992481203006
